Iso_Idxs,Value,Unc,RefRemarks,Refs,Term,Include,Table
"050114,050116",0.016329869537453176,0.000841396646090685,Fr95,['Fr95'],R050116-R050114,nan,isom
"050116,050117",0.004844267518287547,0.0008299110440715193,Fr95,['Fr95'],R050117-R050116,nan,isom
"050116,050118",0.015470402719692487,0.0009186705263420782,Fr95,['Fr95'],R050118-R050116,nan,isom
"050116,050120",0.030581392042866862,0.001735408288097738,En74/68EH1+1 R,['En74'],R050120-R050116,nan,isom
"050116,050124",0.0534353960605944,0.0021582622921154657,En74/70MB1+1 R,['En74'],R050124-R050116,nan,isom
"050117,050120",0.024557310983835092,0.0015965575170211446,En74/68EH1+1 R,['En74'],R050120-R050117,nan,isom
"050118,050119",0.002890933841558697,0.0009060910574639444,Fr95,['Fr95'],R050119-R050118,nan,isom
"050118,050120",0.014064002472447715,0.0009953974731639875,Fr95,['Fr95'],R050120-R050118,nan,isom
"050119,050120",0.009040028255901115,0.0014357335772416187,En74/68EH1+1 R,['En74'],R050120-R050119,nan,isom
"050120,050122",0.012266935489857172,0.001071733753250551,Fr95,['Fr95'],R050122-R050120,nan,isom
"050122,050124",0.010469868507266632,0.0009918033391988065,Fr95,['Fr95'],R050124-R050122,nan,isom
"051121,051123",0.008204518600503804,0.0008333106976865078,Fr95,['Fr95'],R051123-R051121,nan,isom
"052122,052123",0.002578722623957407,0.0015310115895111067,Fr95,['Fr95'],R052123-R052122,nan,isom
"052122,052124",0.009533459397660716,0.00153796632628481,Fr95,['Fr95'],R052124-R052122,nan,isom
"052124,052125",0.0017191484159716048,0.0006705778073173184,Fr95,['Fr95'],R052125-R052124,nan,isom
"052124,052126",0.008205026530773568,0.0006770636854321202,Fr95,['Fr95'],R052126-R052124,nan,isom
"052126,052128",0.007892454091506003,0.0006767511129928528,Fr95,['Fr95'],R052128-R052126,nan,isom
"052128,052130",0.007423595432604657,0.0006762822543339513,Fr95,['Fr95'],R052130-R052128,nan,isom
"054124,054126",0.008206015984893544,0.0007552737483111297,Fr95,['Fr95'],R054126-R054124,nan,isom
"054126,054128",0.005314372256883438,0.0007523821045831196,Fr95,['Fr95'],R054128-R054126,nan,isom
"054128,054129",0.0007815253318946233,0.0008260017908475932,Fr95,['Fr95'],R054129-R054128,nan,isom
"054128,054130",0.007815253318946232,0.0010674931184030318,Fr95,['Fr95'],R054130-R054128,nan,isom
"054130,054131",-0.0020319658629260203,0.0010617098309470116,Fr95,['Fr95'],R054131-R054130,nan,isom
"054130,054132",0.0034387114603363425,0.001063116576544422,Fr95,['Fr95'],R054132-R054130,nan,isom
"054132,054134",0.005626982389641287,0.0006745421815264152,Fr95,['Fr95'],R054134-R054132,nan,isom
"054134,054136",0.007346338119809458,0.0006762615372565833,Fr95,['Fr95'],R054136-R054134,nan,isom
"056134,056135",-0.002266687559746227,0.0006712365275072415,Fr95,['Fr95'],R056135-R056134,nan,isom
"056134,056136",0.0033609505196237166,0.000672330790467119,Fr95,['Fr95'],R056136-R056134,nan,isom
"056134,056138",0.005274970780799107,0.0011240155973645833,"Sh82,  Red.",['Sh82'],R056138-R056134,nan,isom
"056135,056138",0.009104264520267333,0.0011242028595667198,"Sh82,  Red.",['Sh82'],R056138-R056135,nan,isom
"056136,056137",-0.0005471314799387445,0.0007476786114186833,Fr95,['Fr95'],R056137-R056136,nan,isom
"056136,056138",0.006331092839291187,0.0006753009327867865,Fr95 (Sh82),"['Sh82', 'Fr95']",R056138-R056136,nan,isom
"056137,056138",0.007444861494555946,0.0008204051245463287,"Sh82,  Red.",['Sh82'],R056138-R056137,nan,isom
"058140,058142",0.029861112206606463,0.0007770542678250494,Fr95,['Fr95'],R058142-R058140,nan,isom
"060142,060143",0.010866878812156,0.0008362987528930768,Fr95,['Fr95'],R060143-R060142,nan,isom
