Type,id,Citation,Elements,Authors,Year
Muonic,Da74,"H.Daniel, et al.: Phys. Letters, 488 (1974) 109 ",....................................... Ar,"H.Daniel,etal.",1974
Muonic,Du74,"T.Dubler,etal.:Nuc/.Phys.A219(1974)29 ","........................................... C, N, 0","T.Dubler,etal.",1974
Muonic,Eg74,"T.von Egidy, and H.P.Povel: Nucl. Phys. A232 (1974) 511 ","..................... C, 0","T.vonEgidy,H.P.Povel",1974
Muonic,En74,"R.Engfer, et al.: At. Data Nucl. Data Tables, 14 (1974) 509 ",.................... Many; compilation,"R.Engfer,etal.",1974
Muonic,Po74,"RJ.Powers, et al.: Nucl. Phys. A230 (1974) 413 ",.................................... Au,"RJ.Powers,etal.",1974
Muonic,Ke75,"D.Kessler, et al.: Phys. Rev. C11 (1975) 1719 ",........................................ Pb,"D.Kessler,etal.",1975
Muonic,Sh75,"EB.Shera, et al.: Phys. Rev. Lett. 34 (1975) 535 ",.................................... Fe,"EB.Shera,etal.",1975
Muonic,8r76,"A.Brandco d'Oliviera, and T.von Egidy: Z.Naturf. 31a (1976) 211 ","........... Br, Cd","A.Brandcod'Oliviera,T.vonEgidy",1976
Muonic,Ca76,"G.Carboni, et al.: Nuovo Cimento, 34 (1976) 493 ",.................................... He,"G.Carboni,etal.",1976
Muonic,Cl76,"D.A.Close, J.J.Malanify, J.P.Davidson: Nuovo Cim. 34A(1976)301 ",....... Pb,"D.A.Close,J.J.Malanify,J.P.Davidson",1976
Muonic,Du76,"T.Dubler et al: Proc. Europhys. Conf. Rad. Shape Nucl. 1976 Cracow, p.9 ","...... Na, S",T.Dubleretal,1976
Muonic,He76,"EM.Henley, F.R.Krejs, L.Wilets: Nuc/. Phys. A256 (1976) 349 ",.............. He,"EM.Henley,F.R.Krejs,L.Wilets",1976
Muonic,ML76,"D.McLoughlin, et al.: Phys. Rev. C13 (1976) 1644 ",.................................. Ta,"D.McLoughlin,etal.",1976
Muonic,Pf76,"H.-J.Pfeiffer, and H.Daniel: Nucl. Phys. A264 (1976) 498 ",....................... Ar,"H.-J.Pfeiffer,H.Daniel",1976
Muonic,Po76,"R.J.Powers, et al.: Nucl. Phys. A262 (1976) 493 ",.................................... Ho,"R.J.Powers,etal.",1976
Muonic,Sh76,"EB.Shera, et al.: Phys. Rev. C14 (1976) 731 ","......................................... Fe, Co, Ni, Cu, Zn","EB.Shera,etal.",1976
Muonic,Ca77,"G.Carboni, et al.: Nuc/. Phys. A278 (1977) 381 ",...................................... He,"G.Carboni,etal.",1977
Muonic,Du77,"T.Dubler, et al.: He/v. Phys. Acta, 50 (1977) 205 ",".................................... Na, S","T.Dubler,etal.",1977
Muonic,8078,"EBorie, and G.A.Rinker: Phys. Rev. A18 (1978) 324 ",............................. He,"EBorie,G.A.Rinker",1978
Muonic,Cl78,"D.A.Close, J.J.Malanfy, J.P.Davidson: Phys. Rev. C17(1978)1433 ","........ Th, U, Pu","D.A.Close,J.J.Malanfy,J.P.Davidson",1978
Muonic,Du78,"T.Dubler, et al.: Helv. Phys. Acta, 51 (1978) 513 ",".................................... Mo, Sr, Zr","T.Dubler,etal.",1978
Muonic,Pl78,"G.R.Plattner, and I.Sick: He/v. Phys. Acta, 51 (1978) 514 ",...................... He,"G.R.Plattner,I.Sick",1978
Muonic,Ri78,"G.A.Rinker, and J.Speth: Nucl. Phys. A306 (1978) 360 ",.......................... Pb; (theory),"G.A.Rinker,J.Speth",1978
Muonic,Sc78,"L.A.Schaller, et al.: Nucl. Phys. A300 (1978) 225 ","................................... F, Na, Al, Si, P, S, K","L.A.Schaller,etal.",1978
Muonic,Vu78,"J.-L.Vuilleumier, et al.: Nucl. Phys. A294 (1978) 273 ",.............................. Pd,"J.-L.Vuilleumier,etal.",1978
Muonic,Wo78,"H.D.Wohlfahrt, eta!.: Phys. Letters, 738 (1978) 131 ",.............................. Ca,"H.D.Wohlfahrt,eta!.",1978
Muonic,Wo78a,"H.D.Wohlfahrt, et al.: Bull. Am. Phys. Soc. 23 (1978) HL4 ","...................... K, Ca, Sc, Ti, V, Cr, Mn, Fe","H.D.Wohlfahrt,etal.",1978
Muonic,Ya78,"Y.Yamazaki, et al.: Phys. Rev. C18 (1978) 1474 ",.................................... Sm,"Y.Yamazaki,etal.",1978
Muonic,Be79,"G.A.Beer et al: flh Int. Conf. High En. Phys. Nucl. Struct. Aug. 13-17 1979, Vancouver, Canada, Contr. 1827, p.21 ","....................... 8, C",G.A.Beeretal,1979
Muonic,Ha79,"A.A.Hahn, et al.: Nuc/. Phys. A314 (1979) 361 ",....................................... Hg,"A.A.Hahn,etal.",1979
Muonic,Ka79,"K.Kaeser, et al.: He/v. Phys. Acta, 52 (1979) 238 ","................................... P, Se","K.Kaeser,etal.",1979
Muonic,Po79,"R.J.Powers, et al.: Nuc/. Phys. A316 (1979) 295 ",.................................... Sm,"R.J.Powers,etal.",1979
Muonic,8a80,"G.Backenstoss, et al.: Phys. Letters, 958 (1980) 212 ",............................. O,"G.Backenstoss,etal.",1980
Muonic,Ma80,"G.Mallot: Dip/omarbeit, Univ. Mainz (1980) ",............................................ Kr,G.Mallot,1980
Muonic,Sc80,"L.Schellenberg, et al.: Nucl. Phys. A333 (1980) 333 ",............................... Mo,"L.Schellenberg,etal.",1980
Muonic,Sc80a,"LA.Schaller, et al.: Nucl. Phys. A343 (1980) 333 ","................................... Be, B, C, N","LA.Schaller,etal.",1980
Muonic,Ba81,"P.Barreau, L.Roussel, R.J.Powers: Nucl. Phys. A364(1981)446 ",............ Sm,"P.Barreau,L.Roussel,R.J.Powers",1981
Muonic,Ho81,"M.V.Hoehn, et al.: Phys. Rev. C24 (1981) 1667 ",...................................... Os,"M.V.Hoehn,etal.",1981
Muonic,Ol81,"A.Olin, et al.: Nuc/. Phys. A360 (1981) 426 ",............................................. B,"A.Olin,etal.",1981
Muonic,Wo81,"H.D.Wohlfahrt, et al.: Phys. Rev. C23 (1981) 533 K, Ca,Sc,Ti,Cr,Mn,Fe",,"H.D.Wohlfahrt,etal.",1981
Muonic,Fr82,"G.Fricke, et al.: SIN Newsletter, 14 (1982) 61 (From Fr95) ","..................... Ar, Sc","G.Fricke,etal.",1982
Muonic,Ru82,"W.Ruckstuhl, et al.: Phys. Rev. Lett. 49 (1982) 859 ",................................ C,"W.Ruckstuhl,etal.",1982
Muonic,Sc82,"L.A.Schaller, et al.: Nucl. Phys. A379 (1982) 525 ",................................... C,"L.A.Schaller,etal.",1982
Muonic,Sh82,"EB.Shera, et al.: Phys. Letters, 1128 (1982) 124 ",................................... Ba,"EB.Shera,etal.",1128
Muonic,Si82a,"H.G.Sieberling, Dip/. Thesis U. Mainz, 1982 KPH 16/82 (From Fr95) ",.... Ge,"H.G.Sieberling,Dip/.ThesisU.Mainz,1982KPH16/82(FromFr95)",1982
Muonic,Si82b,"H.G.Sieberling, (From Fr95) ",.................................................................... Se,"H.G.Sieberling,(FromFr95)",
Muonic,Ku83,"W.Kunold, et al.: Z. Physik, A312 (1983) 11 ",............................................ Ba,"W.Kunold,etal.",1983
Muonic,La83,"D.B.Laubacher, et al.: Phys. Rev. C27 (1983) 1772 ",................................ Gd,"D.B.Laubacher,etal.",1983
Muonic,Ma83,G.Mallott (From Fr95) ,.............................................................................. Ga,G.Mallott(FromFr95),
Muonic,He84,"Th.Hennemann, PhD thesis, Univ. Mainz KPH 2/84(1984) (from Sh89) ",. Xe,"Th.Hennemann,PhDthesis,Univ.MainzKPH2/84(1984)(fromSh89)",1984
Muonic,Ru84,"W.Ruckstuhl, et al.: Nucl. Phys. A430 (1984) 685 ",................................... C,"W.Ruckstuhl,etal.",1984
Muonic,Ta84,"Y.Tanaka, et al.: Phys. Rev. C29 (1984) 1897 ",........................................ Eu,"Y.Tanaka,etal.",1984
Muonic,Ta84a,"Y.Tanaka, et al.: Phys. Rev. C30 (1984) 350 ",.......................................... Hf,"Y.Tanaka,etal.",1984
Muonic,Zu84,"J.O.Zumbro, et al.: Phys. Rev. Lett. 53 (1984) 1888 ",................................ U,"J.O.Zumbro,etal.",1984
Muonic,Bo85,"F.W.N.de Boer, et al.: Nucl. Phys. A444 (1985) 589 ",............................... C,"F.W.N.deBoer,etal.",1985
Muonic,Jo85,"M.W.Johnson, et al.: Phys. Letters, 161B (1985) 75 ",............................... Am,"M.W.Johnson,etal.",1985
Muonic,Ph85,"T.Q.Phan, et al.: Phys. Rev. C32 (1985) 609 ",.......................................... Zr,"T.Q.Phan,etal.",1985
Muonic,Sc85,"L.A.Schaller, et al.: Phys. Rev. C31 (1985) 1007 ",".................................... P, S","L.A.Schaller,etal.",1985
Muonic,He86,"Th.Hennemann, and J.Herberz {Ma83 data re-analysed. From Fr95) ",.... Rb,"Th.Hennemann,J.Herberz{Ma83datare-analysed.FromFr95)",
Muonic,Fr87,"G.Fricke, et al.: (From Fr95) ",.................................................................... Cd,"G.Fricke,etal.",
Muonic,Re87,"M.Reutter, Dip/. Thesis, U. Mainz, 1987, KPH 6/87 (From Fr95) ",............ La,"M.Reutter,Dip/.Thesis,U.Mainz,1987,KPH6/87(FromFr95)",1987
Muonic,Be88,"P.Bergem, et al.: Phys. Rev. C37 (1988) 2821 ",........................................ Pb,"P.Bergem,etal.",1988
Muonic,Kl88,"RM.Klein, Dip/. Thesis, U. Mainz, 1988, KPH 8/88 (From Fr95) ",............ Sb,"RM.Klein,Dip/.Thesis,U.Mainz,1988,KPH8/88(FromFr95)",1988
Muonic,Bu89,"A.J.C.Burghardt, Ph.D. thesis, Univ. Amsterdam (1989) ",......................... Hg,"A.J.C.Burghardt,Ph.D.thesis,Univ.Amsterdam(1989)",1989
Muonic,Ha89,"Th.Hack, Dip/. Thesis, U. Mainz, 1989, KPH 9/89 (From Fr95) ",............... Ru,"Th.Hack,Dip/.Thesis,U.Mainz,1989,KPH9/89(FromFr95)",1989
Muonic,Ja89,"J.Jansen: Diplomarbeit, lnstitut tor Kemphysik, KPH 9/89 Mainz (1989) "," Sm, Gd",J.Jansen,1989
Muonic,Ma89,"P.Mazanek: Dip/. Th., Inst. f. Kemph. PKH 11/89, U. Mainz 1989 ",".......... Zr, Mo",P.Mazanek,1989
Muonic,Sh89,EB.Shera. et al.: Phys. Rev. C39 (1989) 195 ,......................................... Te,EB.Shera.etal.,1989
Muonic,8e90,"C. Bernhadt: Dip/. Thesis U. Mainz, 1990 KPH 7/90 (From Fr95) ",............ Pt,C.Bernhadt,1990
Muonic,Pi90,"C.Piller, et al.: Phys. Rev. C42 (1990) 182 ",.............................................. Sn,"C.Piller,etal.",1990
Muonic,Be92,"C.Bernhardt: Ph.D. Thesis U. Mainz, 1992 KPH 6/92 (From Fr95) ",......... Nd,C.Bernhardt,1992
Muonic,Fr92,"G.Fricke, et al.: Phys. Rev. C45 (1992) 80 ",".............................................. 0, F, Ne, Na, Mg,Al,Si","G.Fricke,etal.",1992
Muonic,Ma92a,"P.Mazanek, Ph.D. Th. Inst. f. Kemph. PKH 5/92, U. Mainz 1992 ",........... Pb,"P.Mazanek,Ph.D.Th.Inst.f.Kemph.PKH5/92,U.Mainz1992",1992
Muonic,Be93,"C.Bernhardt, et al. (From Fr95) Sn",,"C.Bernhardt,etal.(FromFr95)Sn",
Muonic,Fr95,"G.Fricke, et al.: Atomic Data Nucl Data Tables, 60 (1995) 177 ",............... Many: combined anal.,"G.Fricke,etal.",1995
Muonic,Fr97,"G.Fricke, private communication, November, 1997 ",................................. Sn: combined analysis,"G.Fricke,privatecommunication,November,1997",1997
