m_idxs,iso_idxs,redchisq,dof,lim
86,017037,1.1451455999999667e-09,1,3.8284271247461903
295,052130,2.248656399999995e-09,1,3.8284271247461903
271,050116,2.1390624999999957e-09,1,3.8284271247461903
365,069169,2.7306895359999963e-09,1,3.8284271247461903
433,082211,3.0614088999999915e-09,1,3.8284271247461903
"173,174",032074,0.2769230777530783,2,3.0
400,078195,2.9452328999999854e-09,1,3.8284271247461903
321,060142,2.414739599999993e-09,1,3.8284271247461903
407,080198,2.9680703999999878e-09,1,3.8284271247461903
339,062150,2.547220899999988e-09,1,3.8284271247461903
"276,277",050119,0.1767955811874998,2,3.0
"3,4,5,6",002004,1.117717967760419,4,2.414213562373095
"149,150",028064,1.0084259598694716,2,3.0
299,054126,2.2752899999999945e-09,1,3.8284271247461903
418,082197,2.961536399999968e-09,1,3.8284271247461903
"65,66,67",014029,1.5740130818858533,3,2.632993161855452
424,082203,2.993184099999991e-09,1,3.8284271247461903
224,044098,1.956292899999994e-09,1,3.8284271247461903
"398,399",078194,12.191897987620036,2,3.0
115,023051,1.2959999999999986e-09,1,3.8284271247461903
"42,43,44",009019,0.24191573065548191,3,2.632993161855452
201,038087,1.7842175999999979e-09,1,3.8284271247461903
298,054124,2.267664399999995e-09,1,3.8284271247461903
286,051121,2.1911760999999957e-09,1,3.8284271247461903
"125,126",026054,0.42470588303481593,2,3.0
285,050125,2.1882748409999985e-09,1,3.8284271247461903
"355,356",066164,0.02055240428282699,2,3.0
408,080199,2.9691600999999853e-09,1,3.8284271247461903
130,026057,1.4092515999999983e-09,1,3.8284271247461903
283,050123,2.1793958559999993e-09,1,3.8284271247461903
417,082196,2.961536399999968e-09,1,3.8284271247461903
"24,25,26",006013,0.29166270991749765,3,2.632993161855452
"122,123",024054,0.4097168354347101,2,3.0
259,049113,2.114160399999994e-09,1,3.8284271247461903
409,080200,2.977884899999988e-09,1,3.8284271247461903
"135,136,137,138,139",028058,0.24333524980129365,5,2.264911064067352
"445,446,447",092238,0.49176638270122003,3,2.632993161855452
366,070170,2.7941795999999887e-09,1,3.8284271247461903
344,064154,2.62348839999999e-09,1,3.8284271247461903
"34,35,36",008016,5.741811175580149,3,2.632993161855452
105,020046,1.223600399999996e-09,1,3.8284271247461903
"168,169",032070,0.5372733386275894,2,3.0
"260,261,262",049115,2.090221186746178,3,2.632993161855452
"90,91",018038,0.9261288914165146,2,3.0
230,045103,2.0196035999999965e-09,1,3.8284271247461903
"436,437,438,439",083209,1.0858158317488347,4,2.414213562373095
382,072180,2.8611800999999887e-09,1,3.8284271247461903
349,064160,2.6770275999999916e-09,1,3.8284271247461903
"133,134",027059,0.013422819509527052,2,3.0
"182,183",034078,0.009571210657845376,2,3.0
340,062152,2.5928463999999916e-09,1,3.8284271247461903
104,020044,1.2376323999999987e-09,1,3.8284271247461903
378,072176,2.841956099999988e-09,1,3.8284271247461903
419,082198,2.9702499999999787e-09,1,3.8284271247461903
420,082199,2.9702499999999787e-09,1,3.8284271247461903
"75,76,77,78,79",016032,8.314724361067277,5,2.264911064067352
"20,21,22,23",006012,0.6821289367172934,4,2.414213562373095
301,054129,2.2810175999999943e-09,1,3.8284271247461903
"296,297",053127,0.06330004332812574,2,3.0
"27,28",006014,1.8305816159657495,2,3.0
410,080202,2.988808899999987e-09,1,3.8284271247461903
222,042100,1.9775808999999996e-09,1,3.8284271247461903
391,076186,2.9019768999999845e-09,1,3.8284271247461903
426,082205,3.0052323999999966e-09,1,3.8284271247461903
217,042094,1.8939903999999993e-09,1,3.8284271247461903
377,071175,2.8836899999997403e-09,1,3.8284271247461903
"0,1,2",002003,5.716781817062639,3,2.632993161855452
428,082207,3.0195024999999985e-09,1,3.8284271247461903
287,051123,2.1986720999999943e-09,1,3.8284271247461903
"17,18,19",005011,0.48763160721077026,3,2.632993161855452
"37,38",008017,1.2785793566347765,2,3.0
"154,155",029065,0.12308533993011342,2,3.0
280,050121,2.1705349209999997e-09,1,3.8284271247461903
300,054128,2.2810175999999943e-09,1,3.8284271247461903
103,020043,1.221502499999999e-09,1,3.8284271247461903
386,074183,2.8408899999936085e-09,1,3.8284271247461903
449,095241,3.472627040999996e-09,1,3.8284271247461903
231,046102,2.010625599999996e-09,1,3.8284271247461903
"88,89,87",018036,3.827035132124005,3,2.632993161855452
"368,367",070171,12.45570347807593,2,3.0
166,031069,1.5968015999999988e-09,1,3.8284271247461903
360,068167,2.7646563999999896e-09,1,3.8284271247461903
"82,83",016036,1.8863512360261634,2,3.0
113,022049,1.2773475999999986e-09,1,3.8284271247461903
351,066161,2.69984159999999e-09,1,3.8284271247461903
371,070173,2.815363599999989e-09,1,3.8284271247461903
242,047107,2.064793599999996e-09,1,3.8284271247461903
"59,60,61",013027,12.558943875561143,3,2.632993161855452
"29,30,31",007014,0.8361404720730872,3,2.632993161855452
234,046105,2.0394255999999956e-09,1,3.8284271247461903
423,082202,2.990996099999992e-09,1,3.8284271247461903
110,022047,1.2931215999999988e-09,1,3.8284271247461903
190,035081,1.7305599999999978e-09,1,3.8284271247461903
303,054131,2.2857960999999947e-09,1,3.8284271247461903
"401,402,403",078196,23.195760277485245,3,2.632993161855452
"64,62,63",014028,1.9769581304916006,3,2.632993161855452
220,042097,1.924225955999998e-09,1,3.8284271247461903
393,076189,2.8729599999935364e-09,1,3.8284271247461903
