Z1,A1,Z2,A2,dR,DdR,Include,Term,Table,connect_abs_idxs,connect_rel_idxs
54,124,54,126,0.0082060159848935,0.000755273747543333,,R386-R385,isom,,"306,304,300,302,307,303,301,305"
54,126,54,128,0.0053143722568833995,0.0007523821035759055,,R387-R386,isom,,"306,304,300,302,307,303,301,305"
54,128,54,129,0.0007815253318946003,0.0008260017899135226,,R388-R387,isom,,"306,304,300,302,307,303,301,305"
54,128,54,130,0.007815253318946202,0.0010674931155756034,,R389-R387,isom,,"306,304,300,302,307,303,301,305"
54,130,54,131,-0.0020319658629260016,0.0010617098333182064,,R390-R389,isom,,"306,304,300,302,307,303,301,305"
54,130,54,132,0.0034387114603362974,0.001063116576490556,,R391-R389,isom,,"306,304,300,302,307,303,301,305"
54,132,54,134,0.005626982389641204,0.0006745421823369967,,R393-R391,isom,,"306,304,300,302,307,303,301,305"
54,134,54,136,0.0073463375573252325,0.0006762615359452848,,R394-R393,isom,,"306,304,300,302,307,303,301,305"
56,134,56,135,-0.002052828588001252,0.0009333104620224263,,R448-R447,isom,,"311,313,314,389,391,308,392,310,309,312,390"
56,134,56,136,0.0021449538503003304,0.0008778811055111189,,R449-R447,isom,,"311,313,314,389,391,308,392,310,309,312,390"
56,134,56,138,0.00781379374062439,0.0009583477049789409,,R451-R447,isom,,"311,313,314,389,391,308,392,310,309,312,390"
56,135,56,138,0.00986662232862564,0.0011433619058871722,,R451-R448,isom,,"311,313,314,389,391,308,392,310,309,312,390"
56,136,56,137,-0.0011049366126581746,0.0009340371005660882,,R450-R449,isom,,"311,313,314,389,391,308,392,310,309,312,390"
56,136,56,138,0.005668839890324059,0.0007945372265835628,,R451-R449,isom,,"311,313,314,389,391,308,392,310,309,312,390"
56,137,56,138,0.006773776502982233,0.0009651107928739243,,R451-R450,isom,,"311,313,314,389,391,308,392,310,309,312,390"
58,140,58,142,0.03067501303768552,0.010298069643513165,,R467-R466,isom,,"393,315"
60,142,60,143,0.010670791300927754,0.00479732126612153,,R482-R481,isom,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
60,142,60,144,0.028551657180292157,0.003979237800630165,,R483-R481,isom,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
60,142,60,146,0.05591619987653826,0.005605668032804698,,R485-R481,isoe,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
60,142,60,150,0.12881276906859696,0.0148838275182185,,R487-R481,isoe,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
60,143,60,144,0.017880865879364403,0.0062283195354841565,,R483-R482,kalpha,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
60,144,60,145,0.012206396945343846,0.005254273420686709,,R484-R483,isom,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
60,144,60,146,0.0273645426962461,0.003981937576737242,,R485-R483,isom,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
60,145,60,146,0.015158145750902255,0.0065916203838007935,,R485-R484,kalpha,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
60,146,60,148,0.030079201251432458,0.003999487608710223,,R486-R485,isom,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
60,146,60,150,0.0728965691920587,0.01387764064016324,,R487-R485,isoe,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
60,148,60,150,0.04281736794062624,0.013402427136008527,,R487-R486,isom,,"396,403,316,398,172,318,400,173,401,394,319,321,320,397,399,402,171,404,395,317"
62,144,62,148,0.009451913873700108,0.059750649938125046,,R498-R494,kalpha,,"413,405,410,412,411,324,322,328,414,327,407,174,406,408,323,176,409,175,326,177,325"
62,144,62,152,0.12867444007168566,0.048886203793698395,,R502-R494,isom,,"413,405,410,412,411,324,322,328,414,327,407,174,406,408,323,176,409,175,326,177,325"
